cluster_id,log_e_full,log_e_para_multi,log_e_oracle,log_e_stacked_full,log_e_stacked_para,y_astro
9111,9.995311518542511,10.688457367057872,0.6138821735478364,9.3022486090905,9.995352322995721,1
9112,12.9123052186625,13.60545232716411,2.3544138670171413,12.21918402535722,12.912318140316852,1
9113,12.912304939539966,13.605452048041558,1.707904005377841,12.219171373036406,12.912311674533465,1
9114,12.912305274347013,13.605452382848627,0.6188309979978794,12.219162675321591,12.912307493058732,1
9115,12.912306049895708,13.60545315839738,2.1156360777103678,12.219179336673863,12.912316211559585,1
9116,12.912306282415672,13.60545339091736,1.9388277943022953,12.219176252289987,12.91231478561193,1
9117,12.912306105580177,13.60545321408185,1.7779161638980638,12.21917352636038,12.912313334219155,1
9118,12.912306105580177,13.60545321408185,1.976653157653344,12.21917673659839,12.912314939351283,1
9119,14.407368842927596,15.100516007329588,2.5054120892169407,13.714228439475335,14.40737221532928,1
9120,14.407368842927596,15.100516007329588,1.8773459618752586,13.714225278792288,14.407370634983627,1
9121,9.99532884784796,10.688474696386402,1.7474296466344121,9.302443441008164,9.99545841142656,1
9122,12.91230602335595,13.60545313185762,1.9333660392293046,12.21917589981935,12.91231447984633,1
9123,14.407368842927596,15.100516007329588,2.1525526422523495,13.714226424483027,14.407371207830204,1
9124,12.912305451182656,13.605452559684284,2.3117756558024722,12.219183173125481,12.912317830454139,1
9125,14.407368803274966,15.10051596767696,2.5136031515575326,13.71422845556247,14.40737220354663,1
9126,12.912306105580177,13.60545321408185,-0.6140050737150453,12.219160260377283,12.912306701200702,1
9127,12.912304954532,13.60545206303359,1.5940122289947354,12.219169922545587,12.912310956779297,1
9128,12.912306105580177,13.60545321408185,-1.9048189678333558,12.219159292306138,12.912306217164888,1
9129,14.407368842927596,15.100516007329588,1.679915044455436,13.7142246308632,14.407370311018543,1
9130,12.912304981071786,13.60545208957338,2.3292077975460397,12.219183140930697,12.912317579304043,1
9131,12.912306105580177,13.60545321408185,1.7254681761936,12.21917278029072,12.912312961181645,1
9132,14.407368803274966,15.10051596767696,2.080880517441388,13.714226055464565,14.407371003494278,1
9133,12.9123052186625,13.60545232716411,0.21709314880593916,12.219161103867018,12.912306679487681,1
9134,12.912306282415672,13.60545339091736,1.9833843519801828,12.21917703372725,12.912315176334015,1
9135,12.912306105580177,13.60545321408185,1.9773692198122061,12.219176749357041,12.912314945730666,1
9136,9.99532884784796,10.688474696386402,0.872212253537743,9.30229077541804,9.99538207145221,1
9137,14.429902384700984,15.123049549463,1.7170463595677523,13.736758216287777,14.429903874977581,1
9138,12.912306105580177,13.60545321408185,-0.6116128713534619,12.21916026357555,12.912306702799835,1
9139,9.995327365300772,10.688472899308536,0.04759750755383413,9.302228019702248,9.995349636554705,1
9140,9.99531168501676,10.68845753353234,1.8798426913521942,9.302463339624579,9.995459781918115,1
9141,9.995327818501917,10.688473667038986,1.8899714191911343,9.30248250998193,9.99547743409091,1
9142,9.99532884784796,10.688474696386402,1.6352727048555473,9.302415671101175,9.995444524733609,1
9143,12.912306008363934,13.605453116865602,2.0321877078184682,12.219177656514185,12.912315350705748,1
9144,14.407368803274966,15.10051596767696,2.1669623605514543,13.71422645394795,14.407371202736435,1
9145,14.407368842927596,15.100516007329588,-0.10745290996249018,13.714222159295,14.407369075233353,1
9146,14.407368790788585,15.100515955190575,2.3107140422114605,13.714227188355435,14.407371563697962,1
9147,14.407368842927596,15.100516007329588,1.1935084201742001,13.71422348749401,14.407369739333253,1
9148,12.91230493053436,13.605452039035953,0.9505979921594707,12.219164134009956,12.912308050499103,1
9149,14.429902384700984,15.123049549463,1.6703657602536772,13.736758078910537,14.42990380628886,1
9150,12.9123052186625,13.60545232716411,2.4076492840918213,12.219185446266392,12.912318850780972,1
9151,12.91230602335595,13.60545313185762,-0.5174683687560746,12.219160313491521,12.912306686645758,1
9152,9.995327818501917,10.688473667038986,1.7361257503194265,9.302439469907915,9.995455911008646,1
9153,12.912306105580177,13.60545321408185,1.8193849427519,12.219174144585446,12.912313643334015,1
9154,12.9123052186625,13.60545232716411,0.47520540129889627,12.219162006684174,12.912307130897087,1
9155,12.912306049895708,13.60545315839738,1.7089325736488021,12.219172497387111,12.912312791886816,1
9156,12.912305177130692,13.6054522856323,-0.810484915124879,12.219159093725144,12.912305653649744,1
9157,12.912306282415672,13.60545339091736,1.6874220715208716,12.219172439890057,12.912312879397298,1
9158,12.912305192122718,13.605452300624329,1.9058792121224717,12.219174606145172,12.912313417390603,1
9159,12.912305192122718,13.605452300624329,0.3613493565715869,12.21916155307193,12.912306890820657,1
9160,14.429902384700984,15.123049549463,0.9499886622836287,13.736756602915035,14.429903068290308,1
9161,9.995312452757982,10.688458301274586,2.078863515890095,9.302529900798023,9.995493451876737,1
9162,12.912306122595172,13.60545321408185,2.297847241444717,12.219183500077737,12.912318312619641,1
9163,12.912306049895708,13.60545315839738,1.7657414160033968,12.219173293988115,12.912313190190138,1
9164,12.912306282415672,13.60545339091736,2.138440237863112,12.219180041286966,12.912316680128596,1
9165,14.407368842927596,15.100516007329588,2.138440237863112,13.714226357750274,14.407371174463748,1
9166,14.407368803274966,15.10051596767696,0.47789367002243305,13.714222515004188,14.407369233261704,1
9167,12.9123052186625,13.60545232716411,1.8634078599068369,12.219173942652795,12.912313098911477,1
9168,14.407368842927596,15.100516007329588,0.28051546036570124,13.71422239483011,14.407369193000944,1
9169,12.912306282415672,13.60545339091736,2.096343476083287,12.219179178109522,12.912316248535417,1
9170,12.912306049895708,13.60545315839738,2.138440237863112,12.219179808771871,12.912316447611051,1
9171,12.912306282415672,13.60545339091736,1.9620512615468355,12.219176655239878,12.912314987088637,1
9172,9.995313482119844,10.68845933063782,-0.4345475937966164,9.302195838294034,9.995326918573666,1
9173,14.407368803274966,15.10051596767696,1.951812306781684,13.714225518721753,14.40737073512231,1
9174,14.407368842927596,15.100516007329588,0.14990036720917627,13.714222305144128,14.407369148157938,1
9175,14.407368803274966,15.10051596767696,-1.5461920336006685,13.714221740599475,14.407368846059244,1
9176,9.995312452757982,10.688458301274586,2.2310550181196307,9.30258982689105,9.995523420874745,1
9177,14.429902384700984,15.123049549463,-0.34245588356777373,13.736755588242744,14.429902560953929,1
9178,14.407368790788585,15.100515955190575,1.9525210599048464,13.7142255089977,14.407370724017092,1
9179,12.912306105580177,13.60545321408185,2.0880519922325003,12.219178835505469,12.912315988814795,1
9180,14.407368790788585,15.100515955190575,2.146413298293403,13.714226343197629,14.407371141117963,1
9181,14.407368803274966,15.10051596767696,2.34781887604702,13.714227411704433,14.407371681615958,1
9182,14.407368790788585,15.100515955190575,2.606956196926873,13.714229111662723,14.407372525354766,1
9183,12.912305274347013,13.605452382848627,2.3367946071118912,12.219183627180044,12.912317969067585,1
9184,9.995311962153735,10.688457810669687,2.117619607563881,9.302543816643352,9.995500165845415,1
9185,12.912306282415672,13.60545339091736,2.138440237863112,12.219180041286966,12.912316680128596,1
9186,14.407368790788585,15.100515955190575,2.350225248368938,13.714227413165322,14.407371676103228,1
9187,9.99530712651924,10.68845297502875,0.3898608558400051,9.302227304560772,9.995339474381552,1
9188,14.407368803274966,15.10051596767696,1.1563282881240586,13.714223381229072,14.407369666374441,1
9189,12.912305192122718,13.605452300624329,-0.47573490438636074,12.219159544935483,12.912305886751087,1
9190,12.912306105580177,13.60545321408185,2.058851153929853,12.219178262514848,12.912315702316652,1
9191,12.912306105580177,13.60545321408185,1.9343124816458332,12.219175998193167,12.912314570145424,1
9192,12.912306122595172,13.60545321408185,2.0788100970134007,12.219178669359009,12.91231589723332,1
9193,14.407368790788585,15.100515955190575,1.9164987928466561,13.714225371054885,14.40737065504555,1
9194,-1.1013252795418254,-0.5001255648854939,0.8485954909617395,0.28847925411675523,0.3862203122157589,1
9195,14.407368842927596,15.100516007329588,2.362196238785076,13.71422753518818,14.407371763184265,1
9196,12.912306105580177,13.60545321408185,2.0339231548968217,12.219177786432885,12.91231546427338,1
9197,12.912305235677511,13.60545232716411,2.3895710050542194,12.219184972247078,12.912318605260687,1
9198,14.407368842927596,15.100516007329588,2.0432476943835227,13.714225931400382,14.40737096128832,1
9199,-1.7909135197280084,-1.3416339098988483,-5.296653978739398,-2.454478079713495,-2.015804015541894,0
9200,-1.909714182812126,-1.4958941475674945,-7.161728226980861,-2.5976380682589117,-2.1855850491775577,0
9201,-1.15693576256322,-0.5857301304332244,-5.007979646877217,-1.8290481982883167,-1.2669416339208839,0
9202,-1.1318640948395151,-0.5574525327530002,-5.028589264437329,-1.8049064301152264,-1.2392302802410655,0
9203,12.91230520913773,13.605452300624329,0.4400140050522023,12.219161859928613,12.912307035741804,0
