cluster_id,score_supervised_full
663,3.796873220207798e-05
664,0.00010698606321076253
665,6.207004696356294e-05
666,6.207004696356294e-05
667,3.277771705274918e-05
668,7.979131884753436e-05
669,5.5792538903736045e-05
670,9.554133022395848e-06
671,5.330724714203592e-05
672,6.207004696356294e-05
673,2.2928130484507014e-05
674,0.00023279212144673177
675,4.6212434981040124e-05
676,3.385538082762965e-05
677,7.925489277977144e-05
678,8.461174909592153e-05
679,7.2255895756446e-05
680,5.8314499154218505e-05
681,0.00029184180766472653
682,5.0287250032167234e-05
683,5.331076351241896e-05
684,7.308835386430944e-05
685,8.461174909592153e-05
686,0.0004317529189829879
687,4.713120963622944e-05
688,3.967875072813967e-05
689,4.540121430718667e-05
690,4.540121430718667e-05
691,8.461174909592153e-05
692,4.274333134007662e-05
693,5.8314499154218505e-05
694,0.0011322507923030858
695,4.6212434981040124e-05
696,8.461174909592153e-05
697,4.4942084313084635e-05
698,0.00010402633103644738
699,4.302413096533109e-05
700,0.00011215318460695191
701,3.3592120947808416e-05
702,7.537847758247131e-05
703,7.725898107994192e-05
704,5.5395712172398854e-05
705,5.0169723462314274e-05
706,3.385538082762965e-05
707,3.481201745946954e-05
708,0.00021800091049274501
709,0.00010412952753062951
710,0.00011815369092920147
711,6.513956585773506e-05
712,4.274333134007662e-05
713,5.5792538903736045e-05
714,3.277771705274918e-05
715,7.979131884753436e-05
716,5.5792538903736045e-05
717,3.481201745946954e-05
718,6.904089812618992e-05
719,4.4942084313084635e-05
720,2.2928130484507014e-05
721,4.6212434981040124e-05
722,6.207004696356294e-05
723,7.2255895756446e-05
724,5.5395712172398854e-05
725,2.2928130484507014e-05
726,0.00014273555286887683
727,6.690674097610275e-05
728,5.5395712172398854e-05
729,6.649570961888201e-05
730,4.804819881456474e-05
731,0.0001536008185416529
732,8.461174909592153e-05
733,7.979131884753436e-05
734,0.00012993542566096085
735,3.9257232430787426e-05
736,4.302413096533109e-05
737,3.277771705274918e-05
738,3.0255617066206472e-05
739,5.8638781860524305e-05
740,3.385538082762965e-05
