kind,kappa_hat,r_emp
astroturf,1493.198429133333,0.8799048662185669
astroturf,1312.964717536627,0.8646804094314575
astroturf,2212.5820360791436,0.9171702265739441
astroturf,1821.8428509096366,0.900370180606842
astroturf,1541.949827612555,0.8834540247917175
astroturf,1864.1676655320603,0.9025111198425293
astroturf,1759.5956035537818,0.8970454931259155
astroturf,1196.3726972136783,0.8526068925857544
astroturf,1945.9194156978333,0.9063969254493713
astroturf,2110.8022980887595,0.9133636951446533
astroturf,1395.2662510827367,0.8720828890800476
astroturf,2021.4870772279403,0.909723699092865
astroturf,1805.153079080875,0.8994999527931213
astroturf,1507.811511261486,0.8809911012649536
astroturf,1420.6159919171316,0.8742032647132874
astroturf,2188.649298511119,0.9163054823875427
astroturf,1301.834652710852,0.8636134266853333
astroturf,1740.6860902130218,0.8959912657737732
astroturf,1950.6747838291883,0.9066134691238403
astroturf,1783.0006656961043,0.8983212113380432
astroturf,2185.26987120517,0.9161819219589233
astroturf,1379.5997964484552,0.8707365393638611
astroturf,1179.686878984805,0.8507017493247986
astroturf,1602.9567732701753,0.8876115083694458
astroturf,1508.0874772037073,0.881011426448822
astroturf,1641.6763932992258,0.8901002407073975
astroturf,2030.755079663907,0.9101155400276184
astroturf,1356.605069792695,0.8687085509300232
astroturf,1900.345595910362,0.9042696952819824
astroturf,1486.342250604363,0.8793883919715881
astroturf,1408.749737629585,0.8732194900512695
astroturf,1432.829592725259,0.875200092792511
astroturf,1878.408692573951,0.9032109975814819
astroturf,1528.492249409901,0.8824953436851501
astroturf,1775.8716342347684,0.8979359865188599
astroturf,1027.8421687569505,0.8308226466178894
astroturf,2102.942830143798,0.9130551815032959
astroturf,1282.5589871075556,0.8617254495620728
astroturf,1402.8443649810838,0.872724175453186
astroturf,1441.3465907120978,0.8758859634399414
astroturf,1557.048468677085,0.8845112323760986
astroturf,1709.26897979611,0.894191324710846
astroturf,1424.9952665543408,0.8745625019073486
astroturf,1623.878982256732,0.8889700770378113
astroturf,1213.9674258547461,0.8545641899108887
astroturf,1200.3065851117217,0.8530490398406982
astroturf,1285.5439456565605,0.8620212078094482
astroturf,2041.9767894422641,0.9105854630470276
astroturf,1954.3113959553368,0.9067783951759338
astroturf,1668.0851290523674,0.8917356133460999
astroturf,1425.4318697528033,0.8745982050895691
astroturf,1620.2157989880816,0.8887345790863037
astroturf,1820.0526074033469,0.9002775549888611
astroturf,1708.9571006410683,0.8941731452941895
astroturf,1431.4050606197395,0.875084638595581
astroturf,1570.1131779923553,0.885410726070404
astroturf,1874.260346089597,0.9030081629753113
astroturf,2279.231744107959,0.9194870591163635
astroturf,1858.323234639072,0.9022209644317627
astroturf,1456.3824367822197,0.877078652381897
astroturf,2179.685453373117,0.9159769415855408
astroturf,1596.5708799467445,0.8871902227401733
astroturf,1322.0867339175113,0.8655425906181335
astroturf,1562.3040625986523,0.8848747611045837
astroturf,1619.316048330022,0.8886765837669373
astroturf,1171.2946966777695,0.8497249484062195
astroturf,2087.8582336395857,0.9124568700790405
astroturf,1738.0788970324309,0.8958442211151123
astroturf,1819.023051030069,0.9002242088317871
astroturf,1880.7997405525366,0.9033275246620178
astroturf,1934.9433312223412,0.9058932662010193
astroturf,1657.1100333811278,0.8910619020462036
astroturf,1642.100363541753,0.8901268839836121
astroturf,2252.9679421182364,0.91858971118927
astroturf,1661.0599114569172,0.8913053274154663
astroturf,1793.8198458550985,0.8989003300666809
astroturf,1496.3673196076963,0.880142092704773
astroturf,3103.2815517879735,0.9401839971542358
astroturf,2127.00537540991,0.9139928817749023
astroturf,1959.035607584966,0.9069917798042297
astroturf,2247.250275814729,0.9183917045593262
astroturf,1345.2678026742713,0.8676851987838745
astroturf,1326.640731042446,0.8659689426422119
astroturf,1469.8649445228386,0.8781288862228394
astroturf,2093.296905801367,0.9126735329627991
astroturf,1860.5738238896724,0.9023329019546509
astroturf,1856.6583794539692,0.9021379947662354
astroturf,1894.0012113183386,0.9039658904075623
astroturf,1145.4482098271933,0.8466352224349976
astroturf,1413.012756876222,0.8735746741294861
astroturf,1351.4677763162854,0.8682467937469482
astroturf,1437.8343283380102,0.8756040334701538
astroturf,1578.6967146437253,0.8859941363334656
astroturf,1570.146333549625,0.8854129910469055
astroturf,1617.7139780515465,0.888573169708252
astroturf,1335.7270563769523,0.8668116331100464
astroturf,1571.1774245713923,0.8854833841323853
astroturf,1658.222418506226,0.8911305665969849
astroturf,2088.022421020737,0.9124634265899658
astroturf,1222.9148755353322,0.855539858341217
astroturf,1756.7981872796315,0.8968908786773682
astroturf,1380.8775659211997,0.8708474040031433
astroturf,1587.281838883444,0.8865717649459839
astroturf,1209.7910157528652,0.8541042804718018
astroturf,1731.0015257054997,0.8954429626464844
astroturf,2343.7336661657673,0.9216092824935913
astroturf,1978.1412561908007,0.9078449010848999
astroturf,1331.388189836913,0.8664105534553528
astroturf,1180.1813546896592,0.8507589101791382
astroturf,1592.064124121553,0.8868910074234009
astroturf,1883.7822154562982,0.9034724831581116
astroturf,1593.5706112279386,0.8869912028312683
astroturf,1777.783461007859,0.8980395793914795
astroturf,1641.4573748510359,0.8900864720344543
astroturf,2028.479273965561,0.9100196361541748
astroturf,1908.507425487816,0.9046577215194702
astroturf,1402.8974580240601,0.8727286458015442
astroturf,1621.6667982387396,0.8888279795646667
astroturf,1206.1738847366069,0.8537036180496216
astroturf,1314.065301378555,0.8647850155830383
astroturf,2224.078029474891,0.9175792932510376
astroturf,1423.9583240574505,0.8744776248931885
astroturf,1639.4744782825896,0.8899616599082947
astroturf,1424.8043759583065,0.8745468854904175
astroturf,1187.4633863090457,0.8515956997871399
astroturf,2164.739745694785,0.9154233932495117
astroturf,1887.8743038190787,0.9036706686019897
astroturf,1734.4419713440511,0.8956384062767029
astroturf,1453.2001862658135,0.876828134059906
astroturf,1538.413597424709,0.8832036256790161
astroturf,2146.9809641875795,0.9147561192512512
astroturf,1772.042053234696,0.8977278470993042
astroturf,1422.3496065987144,0.8743457198143005
astroturf,1466.0478407951605,0.877833366394043
astroturf,1546.6592819618131,0.8837858438491821
astroturf,1650.3251332222264,0.8906412124633789
astroturf,1699.9993255658835,0.8936483263969421
astroturf,1251.3751431594976,0.8585585951805115
astroturf,1410.8578834708894,0.8733953833580017
astroturf,2334.032213658992,0.9212972521781921
