cluster_id,n,n_unique_at_hi_gamma,frac_unclustered_at_hi,fragmentation_rate,frac_astroturf,frac_advocacy,y_astro,y_adv
270,46,2,0.0,0.043478260869565216,0.0,0.0,0,0
271,46,7,0.0,0.15217391304347827,0.0,0.0,0,0
272,45,7,0.0,0.15555555555555556,0.0,0.0,0,0
273,45,7,0.0,0.15555555555555556,0.0,0.0,0,0
274,45,4,0.0,0.08888888888888889,0.0,0.0,0,0
275,45,6,0.0,0.13333333333333333,0.0,0.0,0,0
276,45,5,0.0,0.1111111111111111,0.0,0.0,0,0
277,45,6,0.0,0.13333333333333333,0.0,0.0,0,0
278,45,4,0.0,0.08888888888888889,0.0,0.0,0,0
279,45,4,0.0,0.08888888888888889,0.0,0.0,0,0
280,45,3,0.0,0.06666666666666667,0.0,0.0,0,0
281,45,6,0.0,0.13333333333333333,0.0,0.0,0,0
282,45,2,0.0,0.044444444444444446,0.0,0.0,0,0
283,45,4,0.0,0.08888888888888889,0.0,0.0,0,0
284,45,3,0.0,0.06666666666666667,0.0,0.0,0,0
285,45,3,0.0,0.06666666666666667,0.0,0.0,0,0
286,45,5,0.0,0.1111111111111111,0.0,0.0,0,0
287,45,2,0.0,0.044444444444444446,0.0,0.0,0,0
288,45,2,0.0,0.044444444444444446,0.0,0.0,0,0
289,45,8,0.0,0.17777777777777778,0.0,0.0,0,0
290,45,4,0.0,0.08888888888888889,0.0,0.0,0,0
291,45,4,0.0,0.08888888888888889,0.0,0.9111111111111112,0,1
292,45,13,0.0,0.28888888888888886,0.0,0.2888888888888888,0,0
293,45,3,0.0,0.06666666666666667,0.0,0.0,0,0
294,45,5,0.0,0.1111111111111111,0.0,0.0,0,0
295,45,4,0.0,0.08888888888888889,0.0,0.0,0,0
296,45,2,0.0,0.044444444444444446,0.0,0.0,0,0
297,45,5,0.0,0.1111111111111111,0.0,0.0,0,0
298,45,2,0.0,0.044444444444444446,0.0,0.0,0,0
299,45,1,0.0,0.022222222222222223,0.0,0.0,0,0
300,45,2,0.0,0.044444444444444446,0.0,0.0,0,0
301,45,4,0.0,0.08888888888888889,0.0,0.0,0,0
302,45,16,0.0,0.35555555555555557,0.0,0.9333333333333332,0,1
303,45,1,0.0,0.022222222222222223,0.0,0.0,0,0
304,45,2,0.0,0.044444444444444446,0.0,0.0,0,0
305,45,2,0.0,0.044444444444444446,0.0,0.0222222222222222,0,0
306,45,3,0.0,0.06666666666666667,0.0,0.0,0,0
307,45,2,0.0,0.044444444444444446,0.0,0.0,0,0
308,45,3,0.0,0.06666666666666667,0.0,0.0,0,0
309,44,21,0.0,0.4772727272727273,0.0,0.0,0,0
310,44,5,0.0,0.11363636363636363,0.0,0.5909090909090909,0,1
311,44,4,0.0,0.09090909090909091,0.0,0.0,0,0
312,44,2,0.0,0.045454545454545456,0.0,0.0,0,0
313,44,2,0.0,0.045454545454545456,0.0,0.0,0,0
314,44,4,0.0,0.09090909090909091,0.0,0.0,0,0
315,44,5,0.0,0.11363636363636363,0.0,0.0,0,0
316,44,3,0.0,0.06818181818181818,0.0,0.0,0,0
317,44,5,0.0,0.11363636363636363,0.0,0.0,0,0
318,44,3,0.0,0.06818181818181818,0.0,0.0,0,0
319,44,4,0.0,0.09090909090909091,0.0,0.3636363636363636,0,0
320,44,4,0.0,0.09090909090909091,0.0,0.0,0,0
321,44,3,0.0,0.06818181818181818,0.0,0.0,0,0
322,44,2,0.0,0.045454545454545456,0.0,0.0,0,0
323,44,2,0.0,0.045454545454545456,0.0,0.0,0,0
324,44,3,0.0,0.06818181818181818,0.0,0.0,0,0
325,44,2,0.0,0.045454545454545456,0.0,0.0,0,0
326,44,2,0.0,0.045454545454545456,0.0,0.0,0,0
327,44,2,0.0,0.045454545454545456,0.0,0.0,0,0
328,44,1,0.0,0.022727272727272728,0.0,0.0,0,0
329,44,2,0.0,0.045454545454545456,0.0,0.0,0,0
330,44,3,0.0,0.06818181818181818,0.0,0.0,0,0
331,44,1,0.0,0.022727272727272728,0.0,0.0,0,0
332,44,4,0.0,0.09090909090909091,0.0,0.0,0,0
333,44,3,0.0,0.06818181818181818,0.0,0.0,0,0
334,44,1,0.0,0.022727272727272728,0.0,0.0,0,0
335,44,5,0.0,0.11363636363636363,0.0,0.6136363636363636,0,1
336,44,4,0.0,0.09090909090909091,0.0,0.0,0,0
337,44,3,0.0,0.06818181818181818,0.0,0.0,0,0
338,44,2,0.0,0.045454545454545456,0.0,0.0,0,0
339,43,6,0.0,0.13953488372093023,0.0,0.0,0,0
340,43,4,0.0,0.09302325581395349,0.0,0.0,0,0
341,43,12,0.0,0.27906976744186046,0.0,0.0,0,0
342,43,6,0.0,0.13953488372093023,0.0,0.0,0,0
343,43,3,0.0,0.06976744186046512,0.0,0.0,0,0
344,43,3,0.0,0.06976744186046512,0.0,0.0,0,0
345,43,8,0.0,0.18604651162790697,0.0,0.0,0,0
346,43,9,0.0,0.20930232558139536,0.0,0.0,0,0
347,43,7,0.0,0.16279069767441862,0.0,0.4651162790697674,0,0
348,43,4,0.0,0.09302325581395349,0.0,0.0,0,0
349,43,4,0.0,0.09302325581395349,0.0,0.0,0,0
350,43,5,0.0,0.11627906976744186,0.0,0.0,0,0
351,43,5,0.0,0.11627906976744186,0.0,0.0,0,0
352,43,5,0.0,0.11627906976744186,0.0,0.627906976744186,0,1
353,43,6,0.0,0.13953488372093023,0.0,0.0,0,0
354,43,5,0.0,0.11627906976744186,0.0,0.0,0,0
355,43,6,0.0,0.13953488372093023,0.0,0.0,0,0
356,43,4,0.0,0.09302325581395349,0.0,0.4651162790697674,0,0
357,43,4,0.0,0.09302325581395349,0.0,0.0,0,0
358,43,2,0.0,0.046511627906976744,0.0,0.0,0,0
359,43,3,0.0,0.06976744186046512,0.0,0.0,0,0
360,43,5,0.0,0.11627906976744186,0.0,0.7209302325581395,0,1
361,43,2,0.0,0.046511627906976744,0.0,0.0,0,0
362,43,2,0.0,0.046511627906976744,0.0,0.0,0,0
363,43,5,0.0,0.11627906976744186,0.0,0.0,0,0
364,43,4,0.0,0.09302325581395349,0.0,0.0,0,0
365,43,12,0.0,0.27906976744186046,0.0,0.0,0,0
366,43,4,0.0,0.09302325581395349,0.0,0.0,0,0
367,43,4,0.0,0.09302325581395349,0.0,0.0,0,0
368,43,1,0.0,0.023255813953488372,0.0,0.0,0,0
369,43,6,0.0,0.13953488372093023,0.0,0.0,0,0
370,43,1,0.0,0.023255813953488372,0.0,0.0,0,0
371,43,4,0.0,0.09302325581395349,0.0,0.0,0,0
372,42,7,0.0,0.16666666666666666,0.0,0.0,0,0
373,42,4,0.0,0.09523809523809523,0.0,0.0,0,0
374,42,8,0.0,0.19047619047619047,0.0,0.3095238095238095,0,0
375,42,5,0.0,0.11904761904761904,0.0,0.0,0,0
376,42,2,0.0,0.047619047619047616,0.0,0.0,0,0
377,42,20,0.0,0.47619047619047616,0.0,0.0,0,0
378,42,3,0.0,0.07142857142857142,0.0,0.0,0,0
379,42,6,0.0,0.14285714285714285,0.0,0.0,0,0
380,42,5,0.0,0.11904761904761904,0.0,0.0,0,0
381,42,4,0.0,0.09523809523809523,0.0,0.0,0,0
382,42,15,0.0,0.35714285714285715,0.0,0.0,0,0
383,42,6,0.0,0.14285714285714285,0.0,0.0,0,0
384,42,11,0.0,0.2619047619047619,0.0,0.8571428571428571,0,1
385,42,2,0.0,0.047619047619047616,0.0,0.0,0,0
386,42,5,0.0,0.11904761904761904,0.0,0.0,0,0
387,42,5,0.0,0.11904761904761904,0.0,0.7857142857142857,0,1
388,42,4,0.0,0.09523809523809523,0.0,0.119047619047619,0,0
