method,k,precision,recall
LRT (log_e),7551,0.1746788504833797,0.21722661396574441
LRT (log_e),7601,0.18010788054203394,0.22546113306982873
LRT (log_e),7651,0.18546595216311593,0.23369565217391305
LRT (log_e),7701,0.19075444747435397,0.24193017127799737
LRT (log_e),7751,0.19597471294026578,0.25016469038208167
LRT (log_e),7801,0.20112806050506346,0.258399209486166
LRT (log_e),7851,0.20621576869188638,0.2666337285902503
LRT (log_e),7901,0.2111125174028604,0.274703557312253
LRT (log_e),7951,0.21506728713369389,0.2816205533596838
LRT (log_e),8001,0.21984751906011749,0.2896903820816864
LRT (log_e),8051,0.224692584772078,0.29792490118577075
LRT (log_e),8101,0.22923095914084682,0.3058300395256917
LRT (log_e),8151,0.2290516501042817,0.30747694334650855
LRT (log_e),8201,0.2276551640043897,0.30747694334650855
LRT (log_e),8251,0.2262756029572173,0.30747694334650855
LRT (log_e),8301,0.22491266112516564,0.30747694334650855
LRT (log_e),8351,0.22392527840977128,0.3079710144927536
LRT (log_e),8401,0.22830615402928223,0.31587615283267456
LRT (log_e),8451,0.23228020352620993,0.32328722002635046
LRT (log_e),8501,0.23244324197153277,0.3254281949934124
LRT (log_e),8551,0.23108408373289674,0.3254281949934124
LRT (log_e),8601,0.23171724218114173,0.32822793148880103
LRT (log_e),8651,0.23615766963356838,0.3364624505928854
LRT (log_e),8701,0.238823123778876,0.3422266139657444
LRT (log_e),8751,0.24317220889041252,0.35046113306982873
LRT (log_e),8801,0.24747187819565958,0.358695652173913
LRT (log_e),8851,0.24788159529996612,0.36133069828722003
LRT (log_e),8901,0.24648915852151443,0.36133069828722003
LRT (log_e),8951,0.24511227795777007,0.36133069828722003
LRT (log_e),9001,0.24375069436729252,0.36133069828722003
LRT (log_e),9051,0.24240415423710088,0.36133069828722003
LRT (log_e),9101,0.245467531040545,0.3679183135704875
LRT (log_e),9151,0.24959020872035842,0.3761528326745718
LRT (log_e),9201,0.25366807955656995,0.38438735177865613
LRT (log_e),9251,0.2575937736460923,0.39245718050065875
LRT (log_e),9301,0.2595419847328244,0.39756258234519104
LRT (log_e),9351,0.2635012298149931,0.4057971014492754
LRT (log_e),9401,0.2674183597489629,0.4140316205533597
LRT (log_e),9451,0.2701301449582055,0.42045454545454547
LRT (log_e),9501,0.2703925902536575,0.4230895915678524
LRT (log_e),9551,0.27400272222803895,0.4309947299077734
LRT (log_e),9601,0.2761170711384231,0.4365942028985507
LRT (log_e),9651,0.2789348254066936,0.44334650856389984
LRT (log_e),9701,0.2815173693433667,0.44976943346508563
LRT (log_e),9751,0.28386832119782585,0.45586297760210803
LRT (log_e),9801,0.28701152943577185,0.46327404479578393
LRT (log_e),9851,0.28991980509592935,0.47035573122529645
LRT (log_e),9901,0.29178870821129177,0.47579051383399207
LRT (log_e),9951,0.29424178474525176,0.48221343873517786
LRT (log_e),10001,0.29647035296470353,0.48830698287220026
LRT (log_e),10051,0.2994726892846483,0.49571805006587616
LRT (log_e),10101,0.30274230274230274,0.5036231884057971
LRT (log_e),10151,0.30597970643286376,0.511528326745718
LRT (log_e),10201,0.30938143319282424,0.5197628458498024
LRT (log_e),10251,0.3127499756121354,0.5279973649538867
LRT (log_e),10301,0.31608581691097953,0.5362318840579711
LRT (log_e),10351,0.3193894309728529,0.5444664031620553
LRT (log_e),10401,0.32266128256898374,0.5527009222661396
LRT (log_e),10451,0.3259018275763085,0.560935441370224
LRT (log_e),10501,0.32644510046662223,0.5645586297760211
LRT (log_e),10551,0.32688844659274,0.5680171277997365
LRT (log_e),10601,0.3275162720498066,0.5718050065876152
LRT (log_e),10651,0.33067317622758424,0.5800395256916996
LRT (log_e),10701,0.3338005793851042,0.5882740447957839
LRT (log_e),10751,0.33420146963073205,0.5917325428194994
LRT (log_e),10801,0.3358948245532821,0.5974967061923584
LRT (log_e),10851,0.3385863054096397,0.605072463768116
LRT (log_e),10901,0.34088615723328136,0.6119894598155468
LRT (log_e),10951,0.342434480869327,0.6175889328063241
LRT (log_e),11001,0.3454231433506045,0.6258234519104084
LRT (log_e),11051,0.34838476156003984,0.6340579710144928
LRT (log_e),11101,0.3511395369786506,0.6419631093544137
LRT (log_e),11151,0.35395928616267597,0.6500329380764164
LRT (log_e),11201,0.35684313900544595,0.6582674571805006
LRT (log_e),11251,0.35961247889076525,0.6663372859025033
LRT (log_e),11301,0.362445801256526,0.6745718050065876
LRT (log_e),11351,0.3649898687340322,0.6823122529644269
LRT (log_e),11401,0.367336198579072,0.6897233201581028
LRT (log_e),11451,0.37009868133787444,0.6979578392621871
LRT (log_e),11501,0.37048952265020435,0.7017457180500659
LRT (log_e),11551,0.37096355293913946,0.7056982872200264
LRT (log_e),11601,0.3720368933712611,0.7108036890645586
LRT (log_e),11651,0.3731010213715561,0.7159090909090909
LRT (log_e),11701,0.373301427228442,0.7193675889328063
LRT (log_e),11751,0.3756276061611778,0.7269433465085638
LRT (log_e),11801,0.3756461316837556,0.730072463768116
LRT (log_e),11851,0.37693021685933675,0.7356719367588933
LRT (log_e),11901,0.3789597512814049,0.7427536231884058
LRT (log_e),11951,0.37929880344741024,0.7465415019762845
LRT (log_e),12001,0.37805182901424883,0.7472002635046113
LRT (log_e),12051,0.3772301053854452,0.7486824769433466
LRT (log_e),12101,0.3766630856953971,0.7506587615283268
LRT (log_e),12151,0.37708830548926014,0.7546113306982872
LRT (log_e),12201,0.3769363166953528,0.7574110671936759
LRT (log_e),12251,0.379152722226757,0.7649868247694335
LRT (log_e),12301,0.37996910820258517,0.7697628458498024
LRT (log_e),12351,0.3812646749251073,0.7755270092226614
LRT (log_e),12401,0.3806144665752762,0.7773386034255599
LRT (log_e),12451,0.38165609188017025,0.782608695652174
LRT (log_e),12501,0.3840492760579154,0.7906785243741765
LRT (log_e),12551,0.3849095689586487,0.7956192358366272
LRT (log_e),12601,0.38338227124831364,0.7956192358366272
LRT (log_e),12651,0.38194609121808554,0.7957839262187089
LRT (log_e),12701,0.38044248484371307,0.7957839262187089
LRT (log_e),12751,0.37895067053564424,0.7957839262187089
LRT (log_e),12801,0.3792672447465042,0.7995718050065876
LRT (log_e),12851,0.3806707649210178,0.80566534914361
LRT (log_e),12901,0.38121075885590266,0.8099472990777339
