cluster_id,n_members,n_matched_buzzfeed,frac_matched_buzzfeed,n_astroturf,frac_astroturf,n_advocacy,frac_advocacy,top_label
14670,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14647,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14645,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14603,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14622,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
4483,12,12,1.0,12,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14620,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14619,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14618,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14617,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14616,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14615,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
4476,12,12,1.0,12,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14614,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14613,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14612,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14611,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14610,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14609,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14608,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14607,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14606,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
4466,12,12,1.0,12,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
4465,12,12,1.0,12,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14605,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14604,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14621,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14623,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14644,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14624,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14643,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14642,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14641,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14639,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14638,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
4503,12,12,1.0,12,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14637,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14636,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
4500,12,12,1.0,12,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14635,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
4498,12,12,1.0,12,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14634,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14633,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14632,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14631,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14630,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14629,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
