cluster_id,n,log_e_para_multi,log_e_verb,log_e_full
227,47,-1.8032595180279802,165.5904080851944,164.89726090463446
228,47,-1.7772365074906145,-1.3881235016037237,-1.5638720958957164
229,47,-1.7851323085565025,-1.3881235016037237,-1.5670539520369333
230,47,-1.7461078264523064,-2.107909326605842,-1.9107345089349113
231,47,-1.7678492798171201,-2.5566978966230294,-2.086425262130158
232,47,-1.7515107047878433,-1.3881235016037237,-1.553400848301011
233,47,-1.7607611275870136,23.91081212605379,23.217664945500943
234,47,-1.7484555124736794,-2.8257625574476815,-2.148551604376494
235,47,-1.7806911870992956,-2.5552044669708183,-2.0947664699282673
236,47,-1.8032595180279802,-2.5552044669708183,-2.1101592614892275
237,47,-1.791976320553334,-1.3881235016037237,-1.5697998307635976
238,47,-1.7468989049191022,-1.3881235016037237,-1.5515067918883156
239,47,-1.802105721397083,2.8093051981562605,2.1260467495163295
240,47,-1.7905286774826328,165.5904080851944,164.89726090463446
241,46,-1.764240817627457,4.7009319430443615,4.009340274343916
242,46,-1.3720974509599182,165.5904080851944,164.89726090463446
243,46,-1.80228367614022,165.5904080851944,164.89726090463446
244,46,-1.7818885514049465,-2.850976873247138,-2.17989054790341
245,46,-1.7939269760507144,-1.4465166288017177,-1.6052103237672182
246,46,-1.7935449249242486,-1.4465166288017177,-1.6050521328657439
247,46,-1.7997554433997063,-1.4465166288017177,-1.6076192513120846
248,46,-1.763670272483255,-1.4465166288017177,-1.5925724917317905
249,46,-1.7997554433997063,-1.4465166288017177,-1.6076192513120846
250,46,-1.797961488319554,-1.4465166288017177,-1.6068786803685444
251,46,-1.8151091865736868,165.5904080851944,164.89726090463446
252,46,-1.7939269760507144,-1.4465166288017177,-1.6052103237672182
253,46,-1.775200277002217,-0.2486681717109831,-0.7451900060293646
254,46,-1.7997554433997063,165.5904080851944,164.89726090463446
255,46,-1.775200277002217,-1.4465166288017177,-1.5974146881494882
256,46,-1.7802541576818696,0.12753431876351096,-0.42723602411085404
257,46,-1.7849268264123723,165.5904080851944,164.89726090463446
258,46,-1.6779853938745837,165.5904080851944,164.89726090463446
259,46,-1.7165350823506897,-2.241541210011288,-1.944972785785505
260,46,-1.7942876166515669,-1.4465166288017177,-1.6053596170026396
261,46,-1.7935449249242486,-1.4465166288017177,-1.6050521328657439
262,46,-1.8035933523234413,-1.4465166288017177,-1.6092009774018123
263,46,-1.7948387438596831,165.5904080851944,164.89726090463446
264,46,-1.730873429931438,-1.4465166288017177,-1.578621550960604
265,46,-1.730873429931438,-2.850976873247138,-2.1416681817138765
266,46,-1.730873429931438,-1.4465166288017177,-1.578621550960604
267,46,-1.7525767145161273,-1.4465166288017177,-1.5878829922524877
268,46,-1.7876720187757513,165.5904080851944,164.89726090463446
269,46,-1.7862811918255919,-1.4465166288017177,-1.6020377942484467
270,46,-1.7862811918255919,-0.2486681717109831,-0.7471589862987049
271,46,-1.7666894872440113,-2.5920114563548124,-2.0965180997571764
272,45,-1.7158216404114937,-2.628353320712027,-2.0714211269564204
273,45,-1.7616186947155543,-0.31818884746673914,-0.7993613978195637
274,45,-1.802204410898793,165.5904080851944,164.89726090463446
275,45,-1.7794332973727807,165.5904080851944,164.89726090463446
276,45,-1.7908207163460372,-2.628353320712027,-2.1243533503209884
277,45,-1.778432828943723,165.5904080851944,164.89726090463446
278,45,-1.8019462164606312,-1.5054982253802645,-1.6427770350876651
279,45,-1.791211237819696,-1.5054982253802645,-1.638185260339051
280,45,-1.7984225493484143,165.5904080851944,164.89726090463446
281,45,-1.7659419252768878,7.048859245652787,6.3558605725438895
282,45,-1.8249388661375754,-1.5054982253802645,-1.652517121765308
283,45,-1.7676873637592112,165.5904080851944,164.89726090463446
284,45,-1.741027975394306,165.5904080851944,164.89726090463446
285,45,-1.800871348341469,-2.628353320712027,-2.1313574796875363
286,45,-1.7922874578664463,165.5904080851944,164.89726090463446
287,45,-1.7874231494068265,-1.5054982253802645,-1.636558209030515
288,45,-1.7940221523900117,-1.5054982253802645,-1.6393903260368952
289,45,-1.7447189626821316,-0.31818884746673914,-0.796111155695973
290,45,-1.7926405401809409,-1.5054982253802645,-1.6387982576221742
291,45,-1.790474602515475,165.5904080851944,164.89726090463446
