cluster_id,n,tau,f_anchor,log_e_para_multi,log_e_verb,log_e_full,log_e_para_g0.95,log_e_para_g0.96,log_e_para_g0.97,log_e_para_g0.98,y_astro,span_days,H_day,H_state,H_email,stat_time,stat_geo,stat_email,log_e_time,log_e_geo,log_e_email,log_e_multi5,log_e_multi4_noverb,log_e_para_time,log_e_para_time_geo
21,55,0.0545454545454545,0.0727272727272727,-0.8648542344342642,2.4566527791500947,1.7989677089392448,-1.263737243811749,-1.1333013303010475,-0.8938746917249547,-0.3992550832524766,0,68.0,0.38429007753152167,0.057248022554624495,0.12553841334481947,0.6157099224684783,0.9427519774453755,0.8744615866551806,0.7635038924462321,-0.31463245327399636,-0.8258308442773052,1.1249634421801546,-0.06859399279859302,0.24954965455107347,0.09438603740891871
22,55,0.0545454545454545,0.0363636363636363,-0.5504769942204024,2.11299442927547,1.4872309274468285,-1.2527299047245268,-0.9468607912520016,-0.5428750022443217,0.0506386610086668,0,68.0,0.43974480151228734,0.06828922495274102,0.11483931947069942,0.5602551984877127,0.931710775047259,0.8851606805293006,0.7720786060725305,-0.1489120784670579,-0.9249065921004518,0.8978925427873785,-0.00021296543193582984,0.31515188613063405,0.18303790265766984
23,55,0.0545454545454545,0.0363636363636363,-0.674954919980704,2.66112510890481,2.0029358593092113,-1.3173647501304795,-0.9810744768348328,-0.5306794258348415,-0.2159643180581127,0,68.0,0.4247091412742382,0.05418282548476455,0.14149584487534628,0.5752908587257618,0.9458171745152355,0.8585041551246537,0.7863036180949442,-0.3707188906153349,-0.7028963674869604,1.2921054495315707,-0.027928063652418622,0.3017499934867247,0.1235984448558276
24,55,0.999999,0.0909090909090909,-1.0098073976706932,241.17092089385503,240.47777371329508,-1.1602784179039056,-1.183719115619097,-0.9979801334558692,-0.7571603683221374,0,399.0,0.34918888004604004,0.0431033712678128,0.3892497529076609,0.6508111199539599,0.9568966287321872,0.6107502470923392,0.7517236511457122,-0.5824940606957698,0.313694007883337,239.56148298142094,0.09801467517503792,0.21710184428315094,0.014377793850608223
25,55,0.0545454545454545,0.0909090909090909,-0.9492698172740488,2.11299442927547,1.465567610640221,-1.227132768951526,-1.1631924883948508,-0.9979801334558692,-0.5553837784505773,0,68.0,0.365985854980501,0.052415890012558655,0.11547359376032784,0.6340141450194989,0.9475841099874414,0.8845264062396722,0.7660258729092128,-0.3909383456016493,-0.9181198268149053,0.8659983330668262,-0.10150282472679062,0.23831729326830897,0.06910479180578166
26,55,0.0545454545454545,0.0363636363636363,-0.7885268405952544,2.975953068820962,2.305720985055724,-1.287095502219222,-0.9334141264507664,-0.5331659962674327,-0.5761988402083205,0,68.0,0.4008073817762399,0.06632064590542103,0.12725874663590925,0.5991926182237601,0.9336793540945789,0.8727412533640908,0.7581448598581318,-0.19039398014526832,-0.8029503344327074,1.5463604255527421,-0.034729754261369594,0.2580576849817402,0.12970000112960056
27,54,0.999999,0.074074074074074,-0.9411080761398224,247.31244178905604,246.6192946084961,-1.2588748397456095,-1.2086034963883154,-0.9103207846199016,-0.5519976250858868,0,567.0,0.3062985860317071,0.062189454755032396,0.42090391269052885,0.6937014139682929,0.9378105452449677,0.5790960873094712,0.6951871644468722,-0.26557790440934115,0.3552726339309311,245.70300387662195,0.13706517909930072,0.17993511226497927,0.0522894529871909
28,54,0.999999,0.0925925925925925,-0.9582498898212054,303.35939385244944,302.6662466718895,-1.192819527551747,-1.147016135017892,-1.0275870694761835,-0.5879997593200447,0,598.0,0.05854725660639802,0.049470254204792605,0.3153910441266673,0.941452743393602,0.9505297457952074,0.6846089558733327,-1.2222019074437296,-0.4480208200567528,0.12903291539867645,301.74995594001535,-0.4882640018841007,-1.081542229634862,-0.8232287044194123
29,54,0.0555555555555555,0.037037037037037,-0.6842601168070362,2.5711916278165,1.9158828553904752,-1.3173822533728374,-0.9869407660469288,-0.5414157021082227,-0.2289367727112827,0,68.0,0.42209201388888884,0.06879340277777778,0.12456597222222222,0.5779079861111112,0.9312065972222222,0.8754340277777778,0.7867312180599014,-0.16193487615057212,-0.8560225227884657,1.2271472442571632,-0.006014490850110965,0.30035237583955576,0.1686636238471717
30,54,0.0555555555555555,0.0555555555555555,-0.9593088247279544,2.87909926093316,2.207251473785492,-1.2847801335646212,-1.071203922932494,-0.7723100967464179,-0.7954488907048716,0,68.0,0.3875792936016916,0.06319993734826534,0.12036964523455244,0.6124207063983085,0.9368000626517347,0.8796303547654476,0.7530952821255606,-0.23116746973035163,-0.8671090108641084,1.4594856172208728,-0.07243856712942942,0.22582814623891234,0.09540928217296374
31,54,0.0555555555555555,0.074074074074074,-0.8739189963658979,2.1233778858483197,1.4789464197675346,-1.2588748397456095,-1.1544947156491707,-0.9103207846199016,-0.4039667564878106,0,68.0,0.42258940697148034,0.07537347215934811,0.12109551833408783,0.5774105930285196,0.9246265278406519,0.8789044816659122,0.782591077529897,-0.09529865660175596,-0.8832475137095934,0.899047805106646,-0.018422578585573612,0.26407236296825254,0.15801356240389874
32,54,0.999999,0.0925925925925925,-1.058177079438677,281.4394549431443,280.74630776258437,-1.2781491700725458,-1.210477898773994,-1.0268049882035966,-0.790550146673801,0,368.0,0.14656181566031737,0.0522318445087993,0.36395566030973686,0.8534381843396827,0.9477681554912007,0.6360443396902631,-0.0196822658495579,-0.40414270969960353,0.26353454528831133,279.8300170307102,-0.193381730383823,-0.40977580096415434,-0.40789457592596823
33,54,0.0555555555555555,0.0555555555555555,-0.8273269197127349,2.1233778858483197,1.4812116390444086,-1.2742900213792536,-1.091643297788245,-0.7637722993978506,-0.4039667564878106,0,68.0,0.4175343606830487,0.05685131195335276,0.12411495210329031,0.5824656393169513,0.9431486880466472,0.8758850478967097,0.7837007319782907,-0.34924253915034953,-0.8539249083455958,0.8851769703994374,-0.06247680062498984,0.27261032711240774,0.10496006711695172
34,54,0.0555555555555555,0.0555555555555555,-0.7655276924103098,2.5711916278165,1.912980422808828,-1.3054059041636086,-1.1053275470813442,-0.7704385714124035,-0.2289367727112827,0,68.0,0.36118805786395813,0.062480763311788236,0.11880578639581407,0.6388119421360419,0.9375192366882118,0.8811942136041859,0.7651636003445038,-0.2441407978946013,-0.9136711924876413,1.216707231897151,-0.0515930919082499,0.2679006114243847,0.12451933305360674
35,54,0.0555555555555555,0.0555555555555555,-0.7474615814617375,2.1233778858483197,1.4853355088115503,-1.2763494379326907,-1.091643297788245,-0.7637722993978506,-0.2062318687554758,0,68.0,0.36565118646722533,0.06429634270498866,0.1228757146213486,0.6343488135327746,0.9357036572950114,0.8771242853786514,0.7705061932036859,-0.2351551438258408,-0.8658605125329228,0.8923988792046409,-0.03937394846354714,0.275518493696036,0.13245272585433976
36,54,0.0555555555555555,0.0555555555555555,-0.7655276924103098,2.5711916278165,1.912980422808828,-1.3054059041636086,-1.1053275470813442,-0.7704385714124035,-0.2289367727112827,0,68.0,0.42003331945022904,0.0862140774677218,0.12578092461474386,0.579966680549771,0.9137859225322782,0.8742190753852561,0.7869915961009621,0.018406852164317478,-0.8442522122345189,1.2349902767319192,0.027207039476164763,0.2858802463922472,0.20442095240168645
37,54,0.0555555555555555,0.074074074074074,-0.8844343331289929,2.5711916278165,1.9091239742838584,-1.3054059041636086,-1.1053275470813442,-0.92046153270568,-0.4287991341599313,0,68.0,0.4140625,0.059895833333333356,0.11631944444444442,0.5859375,0.9401041666666666,0.8836805555555556,0.787366654555421,-0.2810976578037705,-0.9395456533830551,1.2141832638327308,-0.06285742452069876,0.26641353716449534,0.11496545758670895
