scenario,pi0,alpha,rep,k_hat,fdr,tdp
S1_correct,0.5,0.15,15,1966,0.01017293997965412,0.7655389457120377
S1_correct,0.5,0.2,15,2061,0.011644832605531296,0.8013375295043274
S1_correct,0.5,0.05,16,1537,0.002602472348731295,0.5955710955710956
S1_correct,0.5,0.1,16,1796,0.005011135857461025,0.6942501942501943
S1_correct,0.5,0.15,16,1936,0.0046487603305785125,0.7486402486402487
S1_correct,0.5,0.2,16,2050,0.008292682926829269,0.7898212898212899
S1_correct,0.5,0.05,17,1444,0.002077562326869806,0.5673228346456692
S1_correct,0.5,0.1,17,1726,0.004634994206257242,0.6763779527559055
S1_correct,0.5,0.15,17,1884,0.006900212314225053,0.7366141732283464
S1_correct,0.5,0.2,17,1970,0.009137055837563452,0.768503937007874
S1_correct,0.5,0.05,18,1478,0.005412719891745603,0.6022122081114297
S1_correct,0.5,0.1,18,1724,0.0069605568445475635,0.7013519049569849
S1_correct,0.5,0.15,18,1864,0.0101931330472103,0.7558377714051618
S1_correct,0.5,0.2,18,1963,0.014263881813550688,0.7927079065956575
S1_correct,0.5,0.05,19,1427,0.002803083391730904,0.5740217829770069
S1_correct,0.5,0.1,19,1750,0.005142857142857143,0.7022993142396128
S1_correct,0.5,0.15,19,1891,0.007403490216816499,0.7571601452198468
S1_correct,0.5,0.2,19,1969,0.008633824276282377,0.7874142799515934
S1_correct,0.5,0.05,20,1375,0.005818181818181818,0.5616269515201314
S1_correct,0.5,0.1,20,1663,0.00841852074564041,0.6774856203779787
S1_correct,0.5,0.15,20,1829,0.010934937124111536,0.7432210353327855
S1_correct,0.5,0.2,20,1911,0.0141287284144427,0.7740345110928513
S1_correct,0.5,0.05,21,1522,0.002628120893561104,0.5997629395495852
S1_correct,0.5,0.1,21,1776,0.003941441441441441,0.6989332279731332
S1_correct,0.5,0.15,21,1913,0.006272869837950863,0.7510865270644014
S1_correct,0.5,0.2,21,2001,0.00849575212393803,0.7838798893717898
S1_correct,0.5,0.05,22,1439,0.002779708130646282,0.5790960451977402
S1_correct,0.5,0.1,22,1718,0.007566938300349243,0.6880548829701372
S1_correct,0.5,0.15,22,1869,0.008025682182985553,0.7481840193704601
S1_correct,0.5,0.2,22,1989,0.010558069381598794,0.7941888619854721
S1_correct,0.5,0.05,23,1447,0.002073255010366275,0.5653876272513704
S1_correct,0.5,0.1,23,1739,0.005175388154111558,0.6773688332028192
S1_correct,0.5,0.15,23,1907,0.009963293130571578,0.7392325763508223
S1_correct,0.5,0.2,23,2025,0.012345679012345678,0.7830853563038371
S1_correct,0.5,0.05,24,1383,0.0014461315979754157,0.5616104107360715
S1_correct,0.5,0.1,24,1705,0.007038123167155425,0.6884912566083774
S1_correct,0.5,0.15,24,1844,0.010303687635574838,0.7421716144774299
S1_correct,0.5,0.2,24,1943,0.01544004117344313,0.7779585197234649
S1_correct,0.5,0.05,25,1500,0.0026666666666666666,0.5945945945945946
S1_correct,0.5,0.1,25,1767,0.00792303338992643,0.6967408585055644
S1_correct,0.5,0.15,25,1893,0.010036978341257264,0.7448330683624801
S1_correct,0.5,0.2,25,1988,0.012072434607645875,0.78060413354531
S1_correct,0.5,0.05,26,1529,0.0013080444735120995,0.6049920760697306
S1_correct,0.5,0.1,26,1811,0.004417448923246825,0.7143423137876387
S1_correct,0.5,0.15,26,1953,0.007680491551459293,0.7678288431061807
S1_correct,0.5,0.2,26,2035,0.009828009828009828,0.7983359746434231
S1_correct,0.5,0.05,27,1545,0.003883495145631068,0.6297054009819967
S1_correct,0.5,0.1,27,1791,0.006141820212171971,0.7283142389525368
S1_correct,0.5,0.15,27,1908,0.00890985324947589,0.7737315875613748
S1_correct,0.5,0.2,27,1997,0.011016524787180772,0.80810147299509
S1_correct,0.5,0.05,28,1474,0.004070556309362279,0.5806962025316456
S1_correct,0.5,0.1,28,1766,0.00622876557191393,0.6942246835443038
S1_correct,0.5,0.15,28,1927,0.007784120394395433,0.7563291139240507
S1_correct,0.5,0.2,28,2020,0.010396039603960397,0.790743670886076
S1_correct,0.5,0.05,29,1626,0.003075030750307503,0.63469068128426
S1_correct,0.5,0.1,29,1846,0.007042253521126761,0.7176977290524668
S1_correct,0.5,0.15,29,1952,0.008709016393442622,0.7576350822239624
S1_correct,0.5,0.2,29,2048,0.0126953125,0.7916992952231793
S1_correct,0.5,0.05,30,1432,0.0013966480446927375,0.5672352241174137
S1_correct,0.5,0.1,30,1718,0.007566938300349243,0.6763189210630702
S1_correct,0.5,0.15,30,1869,0.00909577314071696,0.7346291154303848
S1_correct,0.5,0.2,30,1985,0.011083123425692695,0.7786592621975407
S1_correct,0.5,0.05,31,1523,0.0013131976362442547,0.5957696827262045
S1_correct,0.5,0.1,31,1797,0.004451864218141347,0.7007442224833529
S1_correct,0.5,0.15,31,1972,0.010141987829614604,0.7645906776341559
S1_correct,0.5,0.2,31,2061,0.013100436681222707,0.7967097532314924
S1_correct,0.5,0.05,32,1439,0.0034746351633078527,0.5745192307692307
S1_correct,0.5,0.1,32,1767,0.00792303338992643,0.702323717948718
S1_correct,0.5,0.15,32,1882,0.009032943676939426,0.7471955128205128
S1_correct,0.5,0.2,32,1994,0.013039117352056168,0.7884615384615384
S1_correct,0.5,0.05,33,1422,0.002109704641350211,0.575659229208925
S1_correct,0.5,0.1,33,1728,0.004629629629629629,0.6977687626774848
S1_correct,0.5,0.15,33,1865,0.005898123324396783,0.752129817444219
S1_correct,0.5,0.2,33,1963,0.009169638308711156,0.7890466531440162
S1_correct,0.5,0.05,34,1454,0.0034387895460797797,0.5800640512409928
S1_correct,0.5,0.1,34,1763,0.008508224617129892,0.699759807846277
S1_correct,0.5,0.15,34,1910,0.012041884816753926,0.7554043234587671
S1_correct,0.5,0.2,34,2024,0.012351778656126482,0.800240192153723
S1_correct,0.5,0.05,35,1469,0.0034036759700476512,0.5860688550840673
