cluster_id,n,tau,f_anchor,log_e_para_multi,log_e_verb,log_e_full,log_e_para_g0.95,log_e_para_g0.96,log_e_para_g0.97,log_e_para_g0.98
13250,8,0.25,0.999999,32.375659689105724,-1.6526464491869355,31.68251250854578,2.3603402497781545,33.76190715179596,23.79439341770042,12.360000346963687
13251,8,0.125,0.999999,24.40173408073795,-0.7752211214803975,23.70858690018964,2.5215891132861064,3.441237046574064,25.78802402353756,13.458212843359657
13252,8,0.25,0.999999,33.09518534925317,-1.6726299116302834,32.402038168693224,2.49581283573152,34.481429148899075,24.589126403783606,12.771074919490896
13253,8,0.25,0.999999,35.86367885041273,-1.7399434871842778,35.170531669852785,1.3007949200201536,37.24995896071799,26.091265929612682,13.576093439648092
13254,8,0.25,0.875,12.071934314281416,-1.7193113774874862,11.3787881582826,0.4119927983755508,1.5447777057271233,1.5849123995391432,13.458212843359657
13255,8,0.25,0.999999,35.223842747523186,-1.7193113774874862,34.53069556696324,1.280994812973708,36.61011715499739,25.78802402353756,13.458212843359657
13256,8,0.25,0.875,10.97375414637589,-1.6526464491869355,10.280610249967435,1.1818181868499,1.3645997415859075,1.401372584280572,12.360000346963687
13257,8,0.25,0.999999,40.12723365450172,-1.6726299116302834,39.434086473941775,41.51264450441519,34.481429148899075,24.589126403783606,12.771074919490896
13258,8,0.25,0.999999,40.176859662102444,-1.6985465016538401,39.4837124815425,41.54637198200513,37.46730794183913,26.689452641864,13.778178476112613
13259,8,0.25,0.999999,22.408109878309986,-1.6526464491869355,21.71496269778557,4.395130909886041,3.115738454841847,23.79439341770042,12.360000346963687
13260,8,0.25,0.999999,25.303160750901178,-1.6985465016538401,24.61001357034311,2.504184542225728,3.4856049661518576,26.689452641864,13.778178476112613
13261,8,0.25,0.999999,40.176859662102444,-1.6985465016538401,39.4837124815425,41.54637198200513,37.46730794183913,26.689452641864,13.778178476112613
13262,8,0.25,0.999999,36.08103443683653,-1.6985465016538401,35.387887256276585,4.659787594689282,37.46730794183913,26.689452641864,13.778178476112613
13263,8,0.25,0.999999,35.86367885041274,-1.7399434871842778,35.17053166985279,4.745994566145829,37.24995896071799,26.091265929612682,13.576093439648092
13264,8,0.25,0.999999,24.704975239235978,-1.7399434871842778,24.01182805867931,2.56385591986876,3.4842355366114894,26.091265929612682,13.576093439648092
13265,8,0.25,0.999999,24.40173408068207,-1.7193113774874862,23.70858690012665,1.280994812973708,3.441237046574064,25.78802402353756,13.458212843359657
13266,8,0.25,0.999999,24.704975239192546,-1.7399434871842778,24.011828058635878,1.3007949200201536,3.4842355366114894,26.091265929612682,13.576093439648092
13267,8,0.25,0.999999,22.408109878309986,-1.6526464491869355,21.71496269778557,4.395130909886041,3.115738454841847,23.79439341770042,12.360000346963687
13268,8,0.25,0.999999,32.37565968910588,-1.6526464491869355,31.682512508545937,4.395130909886041,33.76190715179596,23.79439341770042,12.360000346963687
13269,8,0.25,0.999999,23.20283941352785,-1.6726299116302834,22.50969223298364,1.2499149317337959,3.199002948706072,24.589126403783606,12.771074919490896
13270,8,0.25,0.999999,23.202839413708848,-1.6726299116302834,22.509692233164635,2.49581283573152,3.199002948706072,24.589126403783606,12.771074919490896
13271,8,0.25,0.999999,22.408109874702763,-1.6526464491869355,21.714962694178347,1.1818181868499,3.115738454841847,23.79439341770042,12.360000346963687
13272,8,0.25,0.75,12.189802335890516,-1.7399434871842778,11.496656047378236,-0.7704476136469223,-0.25303802976675815,0.2810998672168252,13.576093439648092
13273,8,0.25,0.875,10.973834025379185,-1.6526464491869355,10.280690128708406,1.1818181868499,3.115738454841847,1.401372584280572,12.360000346963687
13274,8,0.25,0.999999,24.401734080570346,-1.7193113774874862,23.70858690001493,2.5215891132861064,1.5447777057271233,25.78802402353756,13.458212843359657
13275,8,0.25,0.999999,25.30316075082955,-1.6985465016538401,24.610013570271484,2.504184542225728,1.5488335053643238,26.689452641864,13.778178476112613
13276,8,0.25,0.999999,32.37565968910588,-1.6526464491869355,31.682512508545937,4.395130909886041,33.76190715179596,23.79439341770042,12.360000346963687
13277,8,0.25,0.999999,24.40173408048182,-1.7193113774874862,23.708586899926402,0.4119927983755508,0.4748195605553719,25.78802402353756,13.458212843359657
13278,8,0.25,0.999999,24.40173408068207,-1.7193113774874862,23.70858690012665,1.280994812973708,3.441237046574064,25.78802402353756,13.458212843359657
13279,8,0.25,0.999999,24.704975239037974,-1.7399434871842778,24.011828058481306,0.4182850842772777,0.47308342957478366,26.091265929612682,13.576093439648092
