cluster_id,n,kappa_hat,log_e_lrt,log_e_mixlr,T_obs,T_obs_coh,p_coh,frac_astroturf,frac_advocacy,y,log_e_coh,score_supervised
791,32,3827.0908791307425,800.0,126.86003786753218,0.975152850151062,0.975152850151062,6.110726118200002e-59,0.0,0.0,0,134.04247487957696,0.0011803860570432823
792,32,2545.557254779147,800.0,96.51820332085947,0.9587687849998474,0.9587687849998474,2.4650390453826684e-45,0.0,0.0625,0,102.71412153745102,0.006836831081157455
793,32,3772.79457347816,800.0,115.9415643726749,0.9701515436172485,0.9701515436172485,5.708272818748945e-54,0.0,0.0,0,122.59767852734956,0.0011803860570432823
794,32,3840.0,800.0,192.1957433273141,0.9918434023857117,0.9918434023857117,9.293100680810969e-90,0.0,0.0,0,205.00338610689928,0.0011803860570432823
795,32,3840.0,800.0,114.31181089969049,0.9693262577056885,0.9693262577056885,3.1039231617651275e-53,0.0,0.78125,0,120.90434308125583,0.0011803860570432823
796,32,2795.8193018039237,800.0,100.81006646159032,0.9615941047668457,0.9615941047668457,3.234293100039738e-47,0.0,0.125,0,107.0476889828619,0.0018782180914935077
797,32,2145.6059972144453,799.3068528194401,79.85595333046405,0.9458268880844116,0.9458268880844116,3.3872402276385003e-38,0.0,0.0,0,86.27821803607638,0.026929171958428068
798,32,3840.0,799.3068528194401,130.43337785946377,0.9766057133674622,0.9766057133674622,1.3940749232071675e-60,0.0,0.0,0,137.82287452182823,0.0011803860570432823
799,32,2301.2713055449735,799.3068528194401,111.97840376343686,0.9681063294410706,0.9681063294410706,3.480577016956214e-52,0.0,0.0,0,118.48722674617869,0.0025881276743818294
800,32,3840.0,800.0,338.8715474207114,0.9993549585342407,0.9993549585342407,2.5186198255130762e-161,0.0,0.0,0,369.7924889088425,0.0011803860570432823
801,32,3840.0,800.0,98.2198365601628,0.9599118232727051,0.9599118232727051,4.441883434899271e-46,0.0,0.0,0,104.42783579417872,0.0011803860570432823
802,32,3762.1586970372555,799.3068528194401,158.70529022433803,0.9855228662490845,0.9855228662490845,8.808247770014757e-74,0.0,0.0,0,168.21560835242397,0.0011803860570432823
803,32,3840.0,800.0,185.6582306760737,0.9908738136291504,0.9908738136291504,1.2821611780781839e-86,0.0,0.0,0,197.77377092296211,0.0011803860570432823
804,32,3840.0,800.0,463.2906086335932,0.9999255537986755,0.9999255537986755,1.7346522598565432e-222,0.0,0.0,0,510.62308367796305,0.0011803860570432823
805,32,3840.0,800.0,414.8201216342595,0.9998273253440857,0.9998273253440857,1.1913156699615628e-198,0.0,0.0,0,455.736790111419,0.0011803860570432823
806,32,3778.6287541073584,799.3068528194401,109.35826823299809,0.9666809439659119,0.9666809439659119,5.197096189649731e-51,0.0,0.6875,0,115.78373969815365,0.0011803860570432823
807,32,3840.0,800.0,255.88963515870128,0.9972826838493347,0.9972826838493347,1.1513999204421184e-120,0.0,0.0,0,276.16923263512257,0.0011803860570432823
808,32,3684.4537093675235,800.0,123.44017748262215,0.9736806750297546,0.9736806750297546,2.2422400720744045e-57,0.0,0.0,0,130.43987490231663,0.0011803860570432823
809,32,3840.0,800.0,477.73540966896854,0.9999420642852783,0.9999420642852783,1.3631794305572911e-229,0.0,0.0,0,526.9821665077438,0.0011803860570432823
810,32,3840.0,800.0,148.38192381230098,0.9827398657798767,0.9827398657798767,6.351262189226246e-69,0.0,0.0,0,157.02971785347978,0.0011803860570432823
811,32,3310.1920416844796,799.3068528194401,91.28408779746779,0.9550560712814331,0.9550560712814331,4.617204977450291e-43,0.0,0.65625,0,97.48136945996238,0.00745573748046385
812,32,3840.0,800.0,189.2740256831477,0.9914233684539795,0.9914233684539795,2.357399593018736e-88,0.0,0.0,0,201.7699290393056,0.0011803860570432823
813,32,3280.7794815749794,799.3068528198595,123.12932891005838,0.9735427498817444,0.9735427498817444,3.1085495582900783e-57,0.0,0.0,0,130.11319406322946,0.0014625123601517776
814,32,3840.0,800.0,159.92580641854607,0.9858212471008301,0.9858212471008301,2.3338588607958927e-74,0.0,0.5,0,169.5437738204764,0.0011803860570432823
815,32,2083.0925193329613,800.0,89.42985445372439,0.953666627407074,0.953666627407074,2.904812190255399e-42,0.0,0.0,0,95.64220516805047,0.021862649431796062
816,32,3840.0,800.0,449.4204921963461,0.9999052882194519,0.9999052882194519,1.1504551078222505e-215,0.0,0.0,0,494.91563738369905,0.0011803860570432823
817,32,3840.0,800.0,455.21299426555083,0.9999143481254578,0.9999143481254578,1.6293868638657334e-218,0.0,0.0,0,501.47534648578574,0.0011803860570432823
818,32,3840.0,800.0,541.0220081190782,0.9999806880950928,0.9999806880950928,1.0103686573153327e-260,0.0,0.0,0,598.6618089069548,0.0011803860570432823
819,32,3840.0,800.0,455.45403819191404,0.9999147057533264,0.9999147057533264,1.240147744653302e-218,0.0,0.0,0,501.74831975126875,0.0011803860570432823
820,32,3840.0,800.0,420.83081729034865,0.9998444318771362,0.9998444318771362,1.3196884668552832e-201,0.0,0.0,0,462.54220799301777,0.0011803860570432823
821,32,3840.0,800.0,383.60461112375845,0.9997031688690186,0.9997031688690186,2.6450763588103105e-183,0.0,0.0,0,420.40037208390135,0.0011803860570432823
822,32,3840.0,800.0,121.95029526772782,0.9730132222175598,0.9730132222175598,1.071914397870094e-56,0.0,0.0,0,128.87531900093947,0.0011803860570432823
823,32,3020.7134520640966,799.3068528198855,117.4094417585595,0.9708765149116516,0.9708765149116516,1.2377228038438047e-54,0.0,0.0,0,124.1263217789135,0.0018782180914935077
824,32,3840.0,799.3068528194401,151.0150170510492,0.9834958910942078,0.9834958910942078,3.6940137598675597e-70,0.0,0.3125,0,159.87424290288953,0.0011803860570432823
825,32,3840.0,800.0,392.42740777736407,0.9997453093528748,0.9997453093528748,1.217465137830444e-187,0.0,0.0,0,430.38664144854744,0.0011803860570432823
826,31,2454.3290602100024,749.3068528194401,98.12063254164002,0.959846019744873,0.959846019744873,4.909389892837819e-46,0.0,0.1612903225806451,0,104.32776460171819,0.0024434383675580504
827,31,2847.127948130481,750.0,90.9879646666734,0.9548368453979492,0.9548368453979492,6.196797279591199e-43,0.0,0.0,0,97.18712640796791,0.009826472133477792
828,31,3840.0,750.0,212.42809974057465,0.9942426085472107,0.9942426085472107,1.5977422731551994e-99,0.0,0.0,0,227.4873326529527,0.0011803860570432823
829,31,2391.0913745306652,750.0,112.36666628065976,0.9683125019073486,0.9683125019073486,2.3294134587454682e-52,0.0,0.0,0,118.8888083342472,0.0023135485205044155
830,31,3840.0,750.0,245.71850429600576,0.9967599511146545,0.9967599511146545,1.0565790416945508e-115,0.0,0.0,0,264.74224932437386,0.0011803860570432823
831,31,3840.0,750.0,483.9896263775585,0.9999480247497559,0.9999480247497559,1.1437491292019272e-232,0.0,0.0,0,534.0654299983648,0.0011803860570432823
832,31,3840.0,750.0,207.8958908867341,0.9937748312950134,0.9937748312950134,2.490993637675692e-97,0.0,0.4193548387096774,0,222.43807233827022,0.0011803860570432823
833,31,3840.0,750.0,119.19618314976438,0.9717360734939575,0.9717360734939575,1.9170554027446542e-55,0.0,0.0,0,125.99138975027303,0.0011803860570432823
834,31,3806.553004332167,750.0,157.251492317294,0.9851593971252441,0.9851593971252441,4.2786460546049984e-73,0.0,0.0,0,166.63507517140044,0.0011803860570432823
835,31,3233.5043929677395,750.0,143.4610319572726,0.9812350273132324,0.9812350273132324,1.2710343129434348e-66,0.0,0.0,0,151.73078514895573,0.0014625123601517776
836,31,1829.2933552838454,750.0,81.0059226839721,0.9468302130699158,0.9468302130699158,1.1135682913762988e-38,0.0,0.0,0,87.39066399756072,0.033735780139318536
837,31,3840.0,750.0,343.17229551247306,0.999401330947876,0.999401330947876,1.9457188084667e-163,0.0,0.0,0,374.65573868189716,0.0011803860570432823
838,31,3834.8830437825154,750.0,118.78773114680266,0.9715417623519897,0.9715417623519897,2.937514309837564e-55,0.0,0.0,0,125.56461636378003,0.0011803860570432823
839,31,3840.0,750.0,276.67345428076527,0.9981038570404053,0.9981038570404053,7.96284486369063e-131,0.0,0.0,0,299.56386085127804,0.0011803860570432823
840,31,2789.3330080209407,749.3068528194401,92.38413303648987,0.9558616876602173,0.9558616876602173,1.5449661613377244e-43,0.0,0.0,0,98.57615699068089,0.009558655308335134
841,31,2306.1970545068352,750.0,94.04099980629154,0.9570493698120117,0.9570493698120117,2.9552505028392577e-44,0.0,0.0,0,100.2301606719385,0.010819425061996336
842,31,3840.0,750.0,182.2086076470158,0.9903171062469482,0.9903171062469482,5.769246073096495e-85,0.0,0.4516129032258064,0,193.96719149575256,0.0011803860570432823
843,31,3763.529640382186,749.3068528194401,123.81463318979473,0.973845899105072,0.973845899105072,1.5125134643284928e-57,0.0,0.0,0,130.833577487742,0.0011803860570432823
844,31,3840.0,750.0,392.56241502299554,0.9997459053993225,0.9997459053993225,1.044931530412077e-187,0.0,0.0,0,430.53946102775313,0.0011803860570432823
845,31,3222.5044274179345,750.0,81.03632155622944,0.9468564987182617,0.9468564987182617,1.0812470693092542e-38,0.0,0.0,0,87.42011846497888,0.013853216353660916
846,31,3840.0,750.0,187.7252517987481,0.991192102432251,0.991192102432251,1.3065961665016458e-87,0.0,0.0,0,200.05747768101122,0.0011803860570432823
847,31,3336.8073311649623,750.0,103.90562991200292,0.9635164141654968,0.9635164141654968,1.388615952730522e-48,0.0,0.6774193548387096,0,110.19577693008759,0.0014625123601517776
848,31,3837.039961235717,749.3068528194401,143.6892359653997,0.9813075661659241,0.9813075661659241,9.946227080113481e-67,0.0,0.2903225806451613,0,151.97600793926878,0.0011803860570432823
849,31,3840.0,750.0,441.3167363849999,0.9998909831047058,0.9998909831047058,1.1124990363697742e-211,0.0,0.0,0,485.73884575287025,0.0011803860570432823
