cluster_id,n,n_distinct_fine,fragmentation_rate,max_template,sum_template,y_template,y_heavy_template,log_e
142,8,8,1.0,1,8,0,0,23.357506863905847
143,8,4,0.5,1,8,0,0,-2.7196541298827435
144,8,8,1.0,1,8,0,0,23.357506863905847
145,8,6,0.75,1,8,0,0,-2.5710190562550013
146,8,8,1.0,1,8,0,0,23.357506863905847
147,8,6,0.75,1,8,0,0,-2.5710190562550013
148,8,8,1.0,1,8,0,0,23.357506863905847
149,8,8,1.0,1,8,0,0,23.357506863905847
150,8,8,1.0,1,8,0,0,23.357506863905847
151,8,6,0.75,1,8,0,0,-2.5710190562550013
152,8,8,1.0,1,8,0,0,23.357506863905847
153,8,6,0.75,1,8,0,0,-2.5710190562550013
154,8,5,0.625,1,8,0,0,-2.84072893403459
155,8,7,0.875,1,8,0,0,-1.5851448315741963
156,8,8,1.0,1,8,0,0,23.357506863905847
157,8,8,1.0,1,8,0,0,23.357506863905847
158,8,8,1.0,1,8,0,0,23.357506863905847
159,8,8,1.0,1,8,0,0,23.357506863905847
160,8,4,0.5,2,9,0,0,-2.7196541298827435
161,8,8,1.0,1,8,0,0,23.357506863905847
162,8,6,0.75,1,8,0,0,-2.5710190562550013
163,8,8,1.0,1,8,0,0,23.357506863905847
164,8,5,0.625,4,11,0,0,-2.84072893403459
165,8,8,1.0,1,8,0,0,23.357506863905847
166,8,5,0.625,1,8,0,0,-2.84072893403459
167,8,7,0.875,1,8,0,0,-1.5851448315741963
168,8,8,1.0,1,8,0,0,23.357506863905847
169,8,7,0.875,1,8,0,0,-1.5851448315741963
170,8,8,1.0,1,8,0,0,23.357506863905847
171,8,4,0.5,7,15,0,0,-2.7196541298827435
172,8,8,1.0,1,8,0,0,23.357506863905847
173,8,8,1.0,1,8,0,0,23.357506863905847
174,8,8,1.0,1,8,0,0,23.357506863905847
175,8,6,0.75,1,8,0,0,-2.5710190562550013
176,8,6,0.75,1,8,0,0,-2.5710190562550013
177,8,8,1.0,1,8,0,0,23.357506863905847
178,8,8,1.0,1,8,0,0,23.357506863905847
179,8,8,1.0,1,8,0,0,23.357506863905847
180,8,4,0.5,112,119,1,1,-2.7196541298827435
181,8,6,0.75,2,9,0,0,-2.5710190562550013
182,8,5,0.625,1,8,0,0,-2.84072893403459
183,8,8,1.0,1,8,0,0,23.357506863905847
184,8,6,0.75,1,8,0,0,-2.5710190562550013
185,8,8,1.0,1,8,0,0,23.357506863905847
186,8,8,1.0,1,8,0,0,23.357506863905847
187,8,4,0.5,6,17,0,0,-2.7196541298827435
188,8,8,1.0,1,8,0,0,23.357506863905847
189,8,3,0.375,1,8,0,0,-2.2439631345905093
190,8,8,1.0,1,8,0,0,23.357506863905847
191,8,7,0.875,1,8,0,0,-1.5851448315741963
192,8,7,0.875,1,8,0,0,-1.5851448315741963
193,8,5,0.625,1,8,0,0,-2.84072893403459
194,8,8,1.0,1,8,0,0,23.357506863905847
195,8,8,1.0,1,8,0,0,23.357506863905847
196,8,4,0.5,1,8,0,0,-2.7196541298827435
197,8,8,1.0,1,8,0,0,23.357506863905847
198,8,8,1.0,1,8,0,0,23.357506863905847
199,8,8,1.0,1,8,0,0,23.357506863905847
200,8,4,0.5,1,8,0,0,-2.7196541298827435
201,8,4,0.5,88,95,1,1,-2.7196541298827435
202,8,8,1.0,1,8,0,0,23.357506863905847
203,8,5,0.625,1,8,0,0,-2.84072893403459
204,8,8,1.0,1,8,0,0,23.357506863905847
205,8,8,1.0,1,8,0,0,23.357506863905847
206,8,4,0.5,1,8,0,0,-2.7196541298827435
207,8,8,1.0,1,8,0,0,23.357506863905847
208,8,8,1.0,1,8,0,0,23.357506863905847
209,8,8,1.0,1,8,0,0,23.357506863905847
210,8,8,1.0,1,8,0,0,23.357506863905847
