method,K,pi_0,dependence,rho,alpha,mean_fdr,sd_fdr,mean_power,sd_power,mean_k,mean_ap,n_reps
Storey,1000,0.5,prds_block,0.3,0.2,0.20203581702662718,0.048876203195371525,0.9960892388519897,0.004329779466498306,628.12,0.9889001863375582,200
Storey,1000,0.7,independent,0.0,0.01,0.01056639422195212,0.0076086522273252875,0.6286384656975518,0.03484166116991327,190.625,0.9755297165768135,200
Storey,1000,0.7,independent,0.0,0.05,0.050569382393142306,0.013847351566331424,0.8659972779148197,0.021934922615953152,273.65,0.9755297165768135,200
Storey,1000,0.7,independent,0.0,0.1,0.10293464229187788,0.017289708590011152,0.9345196096365944,0.015407003457979166,312.51,0.9755297165768135,200
Storey,1000,0.7,independent,0.0,0.2,0.20216860793578753,0.025076794856294913,0.9792152640500654,0.008225371607410136,368.375,0.9755297165768135,200
Storey,1000,0.7,prds_ar1,0.5,0.01,0.009634637097886612,0.007575743699163758,0.6297047021181114,0.04684217208543435,190.155,0.9761877998235242,200
Storey,1000,0.7,prds_ar1,0.5,0.05,0.04884052793198872,0.01525619332987902,0.8639127192379763,0.026938610626224827,271.59,0.9761877998235242,200
Storey,1000,0.7,prds_ar1,0.5,0.1,0.09875383235808205,0.023457164581147393,0.9324413598263043,0.019610447007782947,309.495,0.9761877998235242,200
Storey,1000,0.7,prds_ar1,0.5,0.2,0.19759993957604066,0.03461786036484111,0.9775808026606039,0.010683761809731197,364.825,0.9761877998235242,200
Storey,1000,0.7,prds_block,0.3,0.01,0.009740423573331469,0.007978026325588673,0.6271530379118913,0.07341096330549324,188.87,0.9772004849454377,200
Storey,1000,0.7,prds_block,0.3,0.05,0.04900608085056623,0.023044389777743614,0.8620048339227901,0.042454992306028054,270.53,0.9772004849454377,200
Storey,1000,0.7,prds_block,0.3,0.1,0.09861298457357562,0.03863161615990022,0.9331768917025388,0.02761197742065876,309.35,0.9772004849454377,200
Storey,1000,0.7,prds_block,0.3,0.2,0.19646062162252761,0.062358914254104926,0.9771268327771578,0.014439041896771901,364.835,0.9772004849454377,200
Storey,1000,0.9,independent,0.0,0.01,0.008766477306941944,0.01414779645901909,0.4203050350291859,0.06559724224264014,42.34,0.9322887605177044,200
Storey,1000,0.9,independent,0.0,0.05,0.047324645971492926,0.027793343895797698,0.6844893747370702,0.05679217011585237,71.73,0.9322887605177044,200
Storey,1000,0.9,independent,0.0,0.1,0.09419748451191619,0.03426405203168428,0.78779854107746,0.049792896974848504,86.805,0.9322887605177044,200
Storey,1000,0.9,independent,0.0,0.2,0.19424210528761943,0.044625009467458183,0.8886795031723785,0.03836150081887101,110.24,0.9322887605177044,200
Storey,1000,0.9,prds_ar1,0.5,0.01,0.012911061484847417,0.018127040570209526,0.40936967812967057,0.08065215105674424,41.11,0.9289242921651955,200
Storey,1000,0.9,prds_ar1,0.5,0.05,0.050519432046151586,0.027695707101476386,0.676177396210357,0.06880336507080027,70.47,0.9289242921651955,200
Storey,1000,0.9,prds_ar1,0.5,0.1,0.09982608495377403,0.0418814019486798,0.7920090323134401,0.05249104352302069,87.12,0.9289242921651955,200
Storey,1000,0.9,prds_ar1,0.5,0.2,0.20187597142043986,0.0547568001478707,0.8871982151054232,0.04160723245604243,110.32,0.9289242921651955,200
Storey,1000,0.9,prds_block,0.3,0.01,0.008525013455593904,0.015657684398131155,0.4212664646044311,0.0923038531118205,43.16,0.9321948269195972,200
Storey,1000,0.9,prds_block,0.3,0.05,0.050149494815323034,0.03716291757435087,0.6769813176828496,0.08222101644621478,72.465,0.9321948269195972,200
Storey,1000,0.9,prds_block,0.3,0.1,0.10089737758711098,0.054497415686729986,0.7896670846603132,0.06697854417945223,89.48,0.9321948269195972,200
Storey,1000,0.9,prds_block,0.3,0.2,0.206088680654002,0.08147387976665058,0.8874897029849492,0.04942087661982669,114.835,0.9321948269195972,200
Storey,1000,0.95,independent,0.0,0.01,0.01024955604419576,0.02427956367821099,0.314987854768098,0.09641804627727066,16.15,0.883906124503879,200
Storey,1000,0.95,independent,0.0,0.05,0.04746786440604064,0.04322454530750662,0.5588122154778573,0.10489556249831442,29.775,0.883906124503879,200
Storey,1000,0.95,independent,0.0,0.1,0.09921617354207375,0.05559894526798795,0.6771763488387914,0.08905953486548093,38.215,0.883906124503879,200
Storey,1000,0.95,independent,0.0,0.2,0.2040072298153664,0.06585448283140727,0.7975567081141106,0.0751358609168046,51.065,0.883906124503879,200
Storey,1000,0.95,prds_ar1,0.5,0.01,0.007719906780737647,0.023996422089957073,0.3100695434218574,0.09391059427514792,15.755,0.8879841338652464,200
Storey,1000,0.95,prds_ar1,0.5,0.05,0.04299957830552057,0.043672979705381594,0.56068336209894,0.08859187631820373,29.655,0.8879841338652464,200
Storey,1000,0.95,prds_ar1,0.5,0.1,0.08783851332799465,0.05467403872982364,0.6726112109310713,0.085543366590894,37.4,0.8879841338652464,200
Storey,1000,0.95,prds_ar1,0.5,0.2,0.186056750618198,0.07862904185478622,0.792061731494048,0.07646167117056812,49.555,0.8879841338652464,200
Storey,1000,0.95,prds_block,0.3,0.01,0.010614668853431264,0.024313156675404055,0.30320215297302494,0.10983550505763841,15.575,0.8869517201116938,200
Storey,1000,0.95,prds_block,0.3,0.05,0.052703658637480374,0.05002005497092056,0.5522415528444885,0.11296281237841674,29.61,0.8869517201116938,200
Storey,1000,0.95,prds_block,0.3,0.1,0.10136193247283362,0.06899930028340645,0.6775577028529746,0.10712668036585794,38.41,0.8869517201116938,200
Storey,1000,0.95,prds_block,0.3,0.2,0.20145365920509142,0.099851323379888,0.7953809538314078,0.09214810819197203,51.385,0.8869517201116938,200
Storey,2000,0.5,independent,0.0,0.01,0.01018950038675138,0.0036297563259935738,0.765457845100729,0.01721795697002329,773.585,0.9888219489468856,200
Storey,2000,0.5,independent,0.0,0.05,0.05018691362361525,0.007234343408098881,0.9432145724280783,0.008144047594129487,993.33,0.9888219489468856,200
Storey,2000,0.5,independent,0.0,0.1,0.10131367570171874,0.010085348350539751,0.9806271194753738,0.004789214730589269,1091.52,0.9888219489468856,200
Storey,2000,0.5,independent,0.0,0.2,0.20316550222502522,0.01507983845004378,0.9968830051175819,0.001844371132727962,1251.69,0.9888219489468856,200
Storey,2000,0.5,prds_ar1,0.5,0.01,0.010376499754994386,0.0040797598318631926,0.7620936793095678,0.025140797035409616,771.6,0.9886730861946953,200
Storey,2000,0.5,prds_ar1,0.5,0.05,0.04970687870521951,0.008485633167103643,0.9411546225030181,0.01087419409240857,992.285,0.9886730861946953,200
Storey,2000,0.5,prds_ar1,0.5,0.1,0.09965458904424594,0.012285972400450198,0.9797302024894587,0.005474358791172235,1090.335,0.9886730861946953,200
Storey,2000,0.5,prds_ar1,0.5,0.2,0.19944407295402033,0.020036766672004967,0.9966053612418871,0.0021638144829643846,1247.93,0.9886730861946953,200
Storey,2000,0.5,prds_block,0.3,0.01,0.010013143593736245,0.0058554002816320425,0.7625672166658655,0.045746387716216946,769.935,0.9893489124162962,200
Storey,2000,0.5,prds_block,0.3,0.05,0.049372402698575055,0.01567974532596632,0.9415501033776107,0.019282298657842728,990.245,0.9893489124162962,200
Storey,2000,0.5,prds_block,0.3,0.1,0.09988295252448293,0.025417890381291268,0.9800111763028783,0.009443376424132071,1089.015,0.9893489124162962,200
Storey,2000,0.5,prds_block,0.3,0.2,0.20057441083403507,0.03960608447580236,0.9966074351464594,0.0031381341224207345,1248.91,0.9893489124162962,200
Storey,2000,0.7,independent,0.0,0.01,0.01012944110536761,0.00506597288592908,0.632920072974277,0.028731328348257156,384.495,0.9761297654427824,200
Storey,2000,0.7,independent,0.0,0.05,0.04975694922670201,0.009073914805255401,0.8654877801894176,0.017368790736290406,547.61,0.9761297654427824,200
Storey,2000,0.7,independent,0.0,0.1,0.09848125364046727,0.012522038664316112,0.9356194978432683,0.012637314900400397,624.01,0.9761297654427824,200
Storey,2000,0.7,independent,0.0,0.2,0.19865249601515558,0.019136752011640033,0.9788963602722628,0.006622469753664315,734.66,0.9761297654427824,200
Storey,2000,0.7,prds_ar1,0.5,0.01,0.01030310883582122,0.005407030574939341,0.6332655711145642,0.031613076331073464,386.255,0.9761082818704981,200
Storey,2000,0.7,prds_ar1,0.5,0.05,0.05080011440281108,0.01202718071916844,0.867313806856679,0.020213990799350556,551.64,0.9761082818704981,200
Storey,2000,0.7,prds_ar1,0.5,0.1,0.10144493129804183,0.016770135252663184,0.9362692843185101,0.013333081224828802,629.165,0.9761082818704981,200
Storey,2000,0.7,prds_ar1,0.5,0.2,0.20118467863979916,0.025180793637610752,0.9794464697532939,0.007580300007671929,740.825,0.9761082818704981,200
Storey,2000,0.7,prds_block,0.3,0.01,0.01002658132290649,0.006381983861689745,0.636451735582755,0.054961413894989854,386.065,0.9764021657751911,200
Storey,2000,0.7,prds_block,0.3,0.05,0.05074258929997316,0.017693166271174867,0.864038313425239,0.034481927975576636,546.705,0.9764021657751911,200
Storey,2000,0.7,prds_block,0.3,0.1,0.10164548386799595,0.028040384044368195,0.9343198671104213,0.02208081809365181,624.975,0.9764021657751911,200
Storey,2000,0.7,prds_block,0.3,0.2,0.2006843637200268,0.044937231210686684,0.9784981235637343,0.011102681085978148,737.19,0.9764021657751911,200
Storey,2000,0.9,independent,0.0,0.01,0.009743935044852488,0.010674170654764552,0.41998939565976284,0.04983596254819872,85.19,0.9303317271483671,200
Storey,2000,0.9,independent,0.0,0.05,0.048867799475275836,0.017887590538502977,0.6800165010657483,0.0445814791505071,143.48,0.9303317271483671,200
Storey,2000,0.9,independent,0.0,0.1,0.09973465867118854,0.02428749482268414,0.7924859752363238,0.035576140101727674,176.625,0.9303317271483671,200
Storey,2000,0.9,independent,0.0,0.2,0.198382833430846,0.030757780105736005,0.8874716042241093,0.027054832839428722,222.285,0.9303317271483671,200
Storey,2000,0.9,prds_ar1,0.5,0.01,0.00957802854734825,0.010945567699149774,0.4161374799757299,0.05420119680153991,83.51,0.9285364732232886,200
Storey,2000,0.9,prds_ar1,0.5,0.05,0.05196884977503449,0.021759902691492725,0.6735858682078354,0.048685938581949605,141.205,0.9285364732232886,200
Storey,2000,0.9,prds_ar1,0.5,0.1,0.10086476790946702,0.03063589817806757,0.7868693923715412,0.0441521415572088,173.95,0.9285364732232886,200
Storey,2000,0.9,prds_ar1,0.5,0.2,0.20298906317993307,0.04020109527759964,0.8863300105679219,0.02999244593771714,221.33,0.9285364732232886,200
Storey,2000,0.9,prds_block,0.3,0.01,0.010762472036357367,0.011920200545374944,0.42296579953521446,0.06950325629496905,85.635,0.9304289452488403,200
Storey,2000,0.9,prds_block,0.3,0.05,0.05278294701088103,0.028280367324363,0.6797902442779556,0.062061929720654586,143.955,0.9304289452488403,200
Storey,2000,0.9,prds_block,0.3,0.1,0.10369502820001211,0.043116906306040696,0.7894058413702942,0.054343164391639276,176.995,0.9304289452488403,200
Storey,2000,0.9,prds_block,0.3,0.2,0.2067316665868323,0.064655433753358,0.8882763049790082,0.039154061001762136,226.02,0.9304289452488403,200
Storey,2000,0.95,independent,0.0,0.01,0.008922588123903065,0.017412894142784314,0.3115482424397263,0.06420825987644925,31.19,0.8823861909009255,200
Storey,2000,0.95,independent,0.0,0.05,0.05057926415259603,0.027806518154251864,0.5575692384631413,0.05974879279639721,58.15,0.8823861909009255,200
Storey,2000,0.95,independent,0.0,0.1,0.10255632039214181,0.03482413506774159,0.6789344579021745,0.05663558498184237,74.98,0.8823861909009255,200
Storey,2000,0.95,independent,0.0,0.2,0.2045812140404092,0.044142226003598614,0.7982551963795872,0.04679206065020224,99.55,0.8823861909009255,200
Storey,2000,0.95,prds_ar1,0.5,0.01,0.00827927988179315,0.01622386644108423,0.30895299205430427,0.07185062894526431,31.33,0.8863281284696545,200
Storey,2000,0.95,prds_ar1,0.5,0.05,0.048544437691984035,0.03233523375726016,0.5585436043515105,0.07720329065301901,59.065,0.8863281284696545,200
Storey,2000,0.95,prds_ar1,0.5,0.1,0.09787239164032276,0.042067195399296035,0.6797194996726077,0.06778811054795023,75.89,0.8863281284696545,200
Storey,2000,0.95,prds_ar1,0.5,0.2,0.1950505691965827,0.05343394468993897,0.8009433670001627,0.055174685839387554,100.36,0.8863281284696545,200
Storey,2000,0.95,prds_block,0.3,0.01,0.01023029707189777,0.01790869097048156,0.32068023673007884,0.07790222482913106,32.32,0.8890448971918592,200
Storey,2000,0.95,prds_block,0.3,0.05,0.05144456772488502,0.03552116669026507,0.5669786693414497,0.08085964706438023,59.73,0.8890448971918592,200
Storey,2000,0.95,prds_block,0.3,0.1,0.10189535657387465,0.05325556737435931,0.6887940548879744,0.0717721495319323,76.895,0.8890448971918592,200
Storey,2000,0.95,prds_block,0.3,0.2,0.2050380883673035,0.08390423804259099,0.8050645847590943,0.062461648652719824,102.59,0.8890448971918592,200
Storey,5000,0.5,independent,0.0,0.01,0.009878328270549405,0.002163237901514325,0.7642278151033302,0.011452776651002316,1932.43,0.9888008848819716,200
Storey,5000,0.5,independent,0.0,0.05,0.05017849260496516,0.005050455685081439,0.9427007797236214,0.005693493401270491,2484.845,0.9888008848819716,200
Storey,5000,0.5,independent,0.0,0.1,0.10020546968068211,0.007077001346414549,0.9804582356291036,0.0032050180275645045,2728.09,0.9888008848819716,200
Storey,5000,0.5,independent,0.0,0.2,0.20097636050749984,0.010477106849736163,0.9968298170615715,0.001142729281818286,3123.74,0.9888008848819716,200
Storey,5000,0.5,prds_ar1,0.5,0.01,0.010121544592107772,0.0026542430351371893,0.7634802475492332,0.015296484941837624,1930.295,0.9887420364412938,200
Storey,5000,0.5,prds_ar1,0.5,0.05,0.050107095724673784,0.0055141944803113,0.9424182067409057,0.006296758179041374,2482.92,0.9887420364412938,200
Storey,5000,0.5,prds_ar1,0.5,0.1,0.10077224423216849,0.0082248602357781,0.9803699091737866,0.003631580875347881,2728.49,0.9887420364412938,200
Storey,5000,0.5,prds_ar1,0.5,0.2,0.20088108074709296,0.012400712192122826,0.996834679687972,0.001387732549454041,3122.255,0.9887420364412938,200
Storey,5000,0.5,prds_block,0.3,0.01,0.010518297941938926,0.0036116399441664788,0.7673929881299838,0.03200370000123435,1939.74,0.9887256544931948,200
Storey,5000,0.5,prds_block,0.3,0.05,0.051984088812399784,0.010332358460755073,0.943468688433001,0.013153978058875773,2489.25,0.9887256544931948,200
Storey,5000,0.5,prds_block,0.3,0.1,0.10334213984888432,0.016508824781376295,0.980595489040117,0.00633410170206998,2735.925,0.9887256544931948,200
